Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-04-28 00:00:00;2697269;91868;1321521;5854;120508;160742;169008;0;
2016-04-28 08:00:00;6884912;269232;3500818;13707;345937;498602;643132;0;
2016-04-28 16:00:00;172238;2980;82566;342;5291;10814;21659;0;
2016-04-29 00:00:00;1809068;58035;887500;3924;78158;105124;107661;0;
2016-04-29 08:00:00;10600765;424191;5342757;21291;516856;922636;792825;0;
2016-04-29 16:00:00;141983;1911;63758;304;3377;8479;10724;0;
2016-04-30 00:00:00;2374770;76966;1179100;5198;105275;122933;135947;0;
2016-04-30 08:00:00;7257377;278332;3707935;15567;352321;513558;509809;0;
2016-04-30 16:00:00;154365;1318;70180;336;3770;7145;9367;0;
2016-05-01 00:00:00;7280086;321278;3032638;20580;480078;765496;188295;0;
2016-05-01 08:00:00;16833811;845997;8980164;26063;1082279;2168179;2244665;0;
